description,title,image,brand,price,asin
"[""Sour Patch Kids - First they're sour. Then they're sweet. This fun and chewy candy is loved by kids of all ages. They are sweet, gummy, and packed with Sour Patch pucker power. This bulk pack contains five pounds of assorted original flavor Sour Patch Kids."", 'This product is labelled to United States standards and may differ from similar products sold elsewhere in its ingredients, labeling and allergen warnings', 'Sugar, Invert Sugar, Corn Syrup, Modified Corn Starch, Tartaric Acid, Citric Acid, Natural and Artificial Flavoring, Yellow 6, Red 40, Yellow 5 and Blue 1.', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Sour Patch Kids Soft and Chewy Candy, Assorted, 5 Pound Bulk Bag","['https://images-na.ssl-images-amazon.com/images/I/51thr6iR2bL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51yqMhQreGL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31RyzkvtLNL._SS40_.jpg']",Sour Patch,15.0,B000JEGQ9G
"['USDA organic. For seven generations, Coombs Family Farms has produced 100% pure, great tasting maple syrup by taking special care of our ancient maple trees. The Coombs Commitment: We make 100% pure maple syrup with no artificial flavors, perservatives or dyes; We never over-tap trees; We support the use of health spouts for tree friendly tapping; We never use pesticides in our tree farm; Our grading standards are never compromised for short-term gain. Nurturing the forest for 7 generations. Certified Organic by QAI. Products of USA and Canada.']","Coombs Family Farms Organic Maple Sugar, 1lb 9-Ounce Container","['https://images-na.ssl-images-amazon.com/images/I/410UKNyO6nL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31AeNAB85aL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41iew%2BoegnL._SS40_.jpg']",Coombs Family Farms,23.45,B000JJHDVG
"['Capture the essence of Finland with Finn Crisp Multigrain Crispbread. Using authentic Finnish baking traditions and recipes, these crackers are made using only pure and simple ingredients. These crisps are a great health conscious alternative to the original Thin Crisp. The crisp is still entirely reminiscent of its rye counterparts, but it also has a balanced grainy taste coming from four different grains: wholegrain rye, wholegrain oat, barley and millet. Baked with sourdough, it has a rich rye taste and a deliciously crunchy mouthfeel. The perfect platform for your favorite snack, these crackers are thin, made with whole grain, high fiber, and are non-GMO. All Finn Crisp products contain whole grain and many are baked with 100% whole grain flour. Finn Crisp strives to make healthy living both tasty and fun!', 'Contains wheat. Made in a facility that also uses sesame seeds and milk.', 'Whole Grain Rye Flour, Wheat Flour, Whole Grain Oat Flour, Barley Flour, Water, Millet, Poppy Seeds, Salt, and Yeast.', 'Store in a dark and dry place.', ""NOTE: Actual product packaging may sometimes differ from image shown due to packaging updates & improvements by the manufacturer. We DO NOT price match. Tracking information/number provided upon request. We are a drop shipping company and items may come directly from the manufacturer's. We do not ship to PO BOXES."", 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Finn Crisp Crispbread, Multigrain, 6.2-Ounce (Pack of 9)","['https://images-na.ssl-images-amazon.com/images/I/51NHxpKLKzL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51XG9dUqQOL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41sSZxCfmSL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/513pX%2BZTPbL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Cz4H9btUL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51-3pbgL3mL._SS40_.jpg']",Finn Crisp,33.77,B000JJHSQG
"['Spicy World Premium Black Peppercorns Whole 7 Ounce Bag is one of the highest quality black peppers we have found in the world. This pungent, aromatic and flavorful pepper is perfect for your tabletop grinder, spice cabinet. Experience freshly ground pepper at home and taste the difference in all of your dishes!', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']",Spicy World Black Peppercorns Whole 7 Ounce - Perfect for Grinder,[],Spicy World,7.74,B000JMAVQC
"['Spicy World Whole Natural and Raw Almonds are produced and packaged right here in the USA. This 4 pound package offers an incredible value. Please note these are raw and natural almonds, not roasted or salted. They are unsalted.', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Spicy World Almonds Whole (Natural and Raw), 4 Pound","['https://images-na.ssl-images-amazon.com/images/I/51zVLDNbpPL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31uiioqKPoL._SS40_.jpg']",Spicy World,27.13,B000JMAVYO
"['The Cadbury flake chocolate bar England (4 pack) is made from the crumbliest, flakiest chocolate.', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Cadbury Flake Chocolate Bars 23.5g, 4-Count","['https://images-na.ssl-images-amazon.com/images/I/31syr9qVs3L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31sdgSTfX-L._SS40_.jpg']",Cadbury,3.99,B000JSLYSU
[],"Airheads Bars, Chewy Fruit Candy, Variety Pack, Stocking Stuffer, Gift, Holiday, Christmas,Party, 90 Count (Packaging May Vary)","['https://images-na.ssl-images-amazon.com/images/I/51VQ%2B-0NcJL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51QG9LYO%2BrL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51VOCJEDANL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41%2B9GujpdnL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51DE%2BT1E4-L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/510wugbOHNL._SS40_.jpg']",Airheads,9.98,B000JZ3576
"['If you enjoy all the good things in life, then make sure you apply that to your candy choices. Black Forest Gummy Bears are made with real fruit juice with colors and flavors from natural sources, making them a chewy, fruity and fun treat to eat! A fat free candy that is made using only the most thoughtful, premium ingredients, a ton of passion and a touch of love, what else could you ask for?', ""'CORN SYRUP, SUCROSE, GELATIN, CITRIC ACID, APPLE JUICE CONCENTRATE, SODIUM CITRATE, COCONUT OIL, NATURAL AND ARTIFICIAL FLAVORS, CARNAUBA WAX, RED 40, YELLOW 5 AND BLUE 1.'"", '(6lb) Fresh. Dated Best By 03/2018 or later', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Black Forest Gummy Bears Ferrara Candy, Natural and Artificial Flavors, 6 Pound","['https://images-na.ssl-images-amazon.com/images/I/51rI%2BesFmuL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41efrKejFKL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51soUJKTw-L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51PZdiB8-xL._SS40_.jpg']",Black Forest,9.28,B000JZEABG
"['Cadburys Flake Case of 16', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']",Cadburys Flake Case of (4pack x 4) 16Bars,[],Cadbury,8.89,B000JZDY0Y
"['Fleur de sel is obtained by hand harvesting the young salt crystals that form on the surface of salt evaporation ponds giving the Fleur de Sel its characteristic crunch and clean light taste. This exquisite salt is hand harvested and is considered to be queen of all salts by the famous chefs and cooks everywhere.\n\nWe procure our Fleur de Sel directly from farmer owned cooperatives ensuring the highest quality and consistency. Our Fleur de Sel is collected at a single source located in Brittany, France. \n\nGreat on: grilled meats and seafood. Exceptional on: rich chocolate desserts', 'Sea Salt from Guerande, France', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']",Das Foods Fleur de Sel De Guerande- French Sea Salt ; 6oz,['https://images-na.ssl-images-amazon.com/images/I/41kQxh7lhnL._SS40_.jpg'],DAS by Morni,25.203335254139688,B000K6Z22U
"['Big Clusters, Big Taste, Big Adventures! Erin Bakers Granola is baked to perfection with handcrafted clusters we know youll love! Each bag uses a blend of ancient grains, oats, fruits, nuts and seeds to provide energy to take on the next challenge whether it be a hike, board meeting or play date. So grab a bag because its the best Granola youll find!<br>Erin Baker started Erin Bakers Wholesome Baked Goods over 20 years ago but her way of baking has remained unchanged - making sure that only simple, whole food ingredients are used in all of her Breakfast Cookies and Granola. When purchasing an Erin Bakers product youre also helping a kid in need through Erins Help Feed 1 Million Kids Program.', 'Produced in a facility that processes wheat, peanuts, tree nuts, eggs, soy and dairy. May contain shells and other organic matter.', 'Whole grain oats, brown rice syrup, peanut butter, expeller pressed canola oil, oat bran, molasses (sugar, sugarcane molasses), flax seed, sea salt, vanilla extract.', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Erin Baker's Homestyle Granola, Peanut Butter, Gluten-Free, Ancient Grains, Vegan, Non-GMO, Cereal, 12-ounce bags (Pack of 6)","['https://images-na.ssl-images-amazon.com/images/I/51by%2BsOVJkL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41WtDZ5FcZL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51GI%2BShQuiL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51S9we242LL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/316vJMYCHQL._SS40_.jpg']",Erin Baker's,29.43,B000K8PO26
"['Prince of PeaceA Premium Pu-Erh Tea. The Pu-Erh de premium. 100% Natural. Individually wrapped. Brought to you by Prince Of Peace', 'Store in a dry, cool place.', 'Pu-Erh Tea Leaves.', 'Brewing Directions: Place one tea bag in a 6-8 fl. oz. cup, add hot water and let it steep for 3-5 minutes before drinking. Sweeten to taste - we recommend Prince of Peace Honey CrystalsTM.<br>Try it iced: pour 2 cups of hot water over 6 bags in a quart container. Let it steep for 10 minutes. Remove tea bags. Add 2 cups of cold water. Pour over ice.', ""PLEASE NOTE: Product image is representative of the product offered but may not have the exact attributes. Please read product description for the specific attributes of this product. The information above is intended for reference only. While we attempt to keep our information accurate, we cannot guarantee it is an accurate representation of the latest formulation of the product. If you have any concerns, please visit the vendor's web site. The information above are the views of the product's manufacturer. These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure or prevent any disease."", 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Prince Of Peace Tea Premium Pu-erh Tea, 100 teabags",['https://images-na.ssl-images-amazon.com/images/I/31uJQD7AZUL._SS40_.jpg'],Prince Of Peace,6.43,B000K9CDV0
"[""The Welch's name has been built on the highest quality fruit proudly grown on family farms. In this tradition of goodness come Welch's Fruit Snacks, bite-sized snacks that are made with real fruit for the delicious taste the whole family loves. Welch's Fruit Snacks are fat free and each serving contains 100% of your daily recommended value of vitamin C and 25% of vitamins A and E. Gluten-free and delicious, Welch's Fruit Snacks are sure to delight your family. At Welch's, We Put The Fruit In Fruit Snacks."", 'Juice From Concentrates (Peach, Pear and Pineapple), Corn Syrup, Sugar, Modified Food Starch, Fruit Puree (Apple and Strawberry), Gelatin, Citric Acid, Lactic Acid, Natural and Artificial Flavor, Ascorbic Acid (Vitamin C), Coconut Oil, Sodium Citrate, Red 40 (Color), Alpha Tocopherol Acetate (Vitamin E), Carnauba Wax, Vitamin A (Vitamin A Palmitate and Beta Carotene).', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Welch's Fruit Snacks, Strawberry, 2.25-Ounce Pouches (Pack of 48)",[],Welch's,35.97,B000KA9I6W
"[""Grown in the tropics, the cassava or tapioca plant produces a fleshy edible root stock. A nutritious starch is extracted from cassava and formed into pearls. Our Small Pearl Tapioca is all-natural, containing no sulfites or other additives. You can see our quality! Bob's Red Mill is the most unique flour mill in the Northwest. We use century old stone grinding equipment to freshly mill whole grain products. Delight your family with whole grain goodness. All natural."", '<div class=""aplus"" >', '<img src=""https://images-na.ssl-images-amazon.com/images/G/01/grocery/detail-page/week12/BobsRedMill-AP-1.jpg"" alt=""Bob\'s Red Mill small pearl tapioca"" align=""right""><b>Bob&rsquo;s Red Mill small pearl tapioca</b> is used to make traditional old-fashioned tapioca pudding, an all-American favorite dessert. Pearl tapioca is a healthy grain, which is low in saturated fat and is great for a gluten-free diet. This is sold in pack of four 24-ounce bags.', '<b>About Whole Grains</b><br/>Whole grains are gaining in popularity after being emphasized by the new USDA guidelines, which recommend eating at least three servings of whole grains every day. At Bob&rsquo;s Red Mill, whole grains have been a way of life for over 25 years. Bob&rsquo;s Red Mill produces a wide variety of whole grain foods and offers its customer&rsquo;s classic, new, and innovative whole grain recipes.', '<img src=""https://images-na.ssl-images-amazon.com/images/G/01/grocery/detail-page/week12/BobsRedMill-AP-2.jpg"" alt=""Bob\'s Red Mill"" align=""left""><b>About Bob&rsquo;s Red Mill</b><br/>Bob&rsquo;s Red Mill produces more than 400 products, including a full line of certified gluten free products and an extensive line of certified organic products. With a wide variety of whole grain products, from flours and hot cereals to baking mixes and grains, Bob&rsquo;s Red Mill has &ldquo;whole grain foods for every meal of the day&rdquo;.', 'Bob&rsquo;s Red Mill is the nation&rsquo;s leader in stone milling and offers the widest diversity of whole grains found anywhere. They are dedicated to producing natural foods in the natural way. Try their outstanding products today and you will not be disappointed--that is a guarantee.', 'Tapioca Starch', 'Keeps best refrigerated or frozen.', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Bob's Red Mill Tapioca, Small Pearl, 24 Ounce Units (Pack of 4)","['https://images-na.ssl-images-amazon.com/images/I/41uAa3ZsVUL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41stdFXOwZL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51vUOcwh4QL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51xa5bXDP6L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31KEH2xcAyL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41zeVfVOxnL._SS40_.jpg']",Bob's Red Mill,25.203335254139688,B000KEJMRI
"['Bob\'s Red Mill 13 Bean Soup Mix is the perfect start to your homemade soup. With 13 of our favorite bean varieties, this soup packs an impressive 13 grams of protein, 12 grams dietary fiber, and 20% daily value of iron per serving. With 14 servings in a bag, your whole family will be full and nourished. Use vegetable stock instead of water for a flavorful vegan soup base, or for meat-eaters, make your soup or chili hearty and flavorful with chicken or beef stock; add a ham hock for even more flavor. Customize the soup with your favorite vegetables or herbs. As Bob says, remember ""anything acidic will prevent the beans from softening, so wait until the beans are completely cooked before added ingredients like tomato or lime juice. And remember, you learned that from Bob.""', 'Beans, peas, and lentils are natural agricultural products. Despite use of modern agricultural equipment, it is not always possible to remove all foreign material. Sort and rinse before cooking.', 'Navy, Black, Red, pinto, Limas, Large Limas Garbanzo, Great Northern, Kidney Beans, Black-eyed, Yellow Split, Green Split Peas, and Lentils.', ""Keep best refrigerated or frozen. Wash 2 cups Bob's Red Mill Soup Mix, then soak overnight. In the morning drain, rinse and bring 2-1/2 qts water to boil with the beans and a ham hock. Reduce heat and simmer 3 to 3-1/2 hours. Add 1 cup chopped onion, one 15 oz can tomato sauce or 1 qt tomatoes, 1-1/2 tsp to 1 tbsp chili powder, according to preference, and 2 tsp garlic powder or 2 cloves of garlic minced. Simmer 30 minutes. Makes about 8 to 10 servings."", 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Bob's Red Mill 13 Bean Soup Mix, 29-ounce (Pack of 4)","['https://images-na.ssl-images-amazon.com/images/I/41kIw%2ByRXWL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Erju8ATSL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41U1eSjI7rL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41xfPI9TygL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31T4W1eW%2B2L._SS40_.jpg']",Bob's Red Mill,25.203335254139688,B000KELHNU
"['Wow! Bob\'s Red Mill Red Lentils are quite the gem of legumes! Not only are they so eye-catchingly beautiful, but they are also full of nutrition. Each serving contains a whopping 13g of protein, plus fiber, potassium, folate, magnesium, iron, phosphorus, and zinc. Grown in America\'s ""Land of Lentils,"" these lentils have a mild, subtly sweet flavor. They also easy to prepare - no presoaking required and they cook in just about 15 minutes! They are great for dips, stews, dals, and salads.', 'Manufactured in a facility that also uses tree nuts, soy, wheat, eggs and milk.', 'Red Lentils', 'Keeps best refrigerated or frozen. To cook lentils, simply pick over to remove debris, rinse, and drain. Cover 1 cup lentils with 3 cups water or broth and boil for 2 to 3 minutes. Reduce heat and simmer for 25-30 minutes or until tender. Serves four.', 'Actual product packaging and materials may contain more and different information than what is shown on our website. We recommend that you do not rely solely on the information presented and that you always read labels, warnings, and directions before using or consuming a product.', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Bob's Red Mill Red Lentils Beans, 27-ounce (Pack of 4)","['https://images-na.ssl-images-amazon.com/images/I/41-LBfqt3rL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41xQw3LZBvL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41xbPpJNQFL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41BLhcFzV1L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41U1eSjI7rL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41QOEyrBpIL._SS40_.jpg']",Bob's Red Mill,30.29,B000KEJMS2
"[""Bob's Red Mill Hearty Whole Grain Bread Mix is an especially delightful treat for those with Celiac disease or gluten intolerance. The caraway seeds in this bread have customers raving about its pumpernickel-like taste, plus it's chock-full of other seeds and flavorful goodness like sunflower seeds, sesame seeds, whole grain teff, and cocoa powder. You don't even need a bread machine to get perfect results with this mix! All you need from your pantry is 1 3/4 cup water, 1/4 cup oil, 2 eggs, and 1 tsp. cider vinegar. One 20-oz package makes one 1 1/2 lb loaf. Like all of our gluten free-labeled products, this product is manufactured in a dedicated gluten free facility and R5-ELISA tested to confirm its gluten free status."", 'Manufactured in a facility that also uses tree nuts and soy.', 'Whole Grain Buckwheat, Garbanzo Bean Flour Potato Starch, Cornstarch, Sunflower Seeds, Sesame Seeds, Whole Grain Sorghum Flour Tapioca Flour Cocoa Powder Evaporated Cane Juice Sugar Fava Bean Flour Dried Molasses (Molasses, Maltodextrin, Silicon Dioxide), Xanthan Gum, (Caraway Seeds, Active Dry Yeast, Sea Salt, Whole Grain Teff, Potato Flour Onion Powder Guar Gum, Soy Lecithin.', 'What You Need: 1 3/4 Cups water; 1/4 Cup oil; 2 Eggs; 1 Tsp. cider vinegar. Baking by Hand: 1. Preheat oven to 375 degrees F. 2. Dissolve enclosed packet of yeast in 1 3/4 cups warm (110 degrees F) water and let stand for 5 minutes to foam. Have all ingredients at room temperature. 3. Put dry mix in large mixing bowl (preferably use a stand mixer). 4. Add eggs, oil, cider vinegar, yeast-water mixture. 5. With mixer on low speed, blend all ingredients until smooth. Turn mixer to medium and beat 15 seconds or until mixture thickens slightly. Pour into generously greased 9 x 5-inch nonstick pan. Smooth top of dough with wet spatula. 6. Cover pan with plastic wrap and put in warm place (75 to 80 degrees F) to rise for about 40 to 45 minutes or until dough is level with top of pan. 7. Bake 60 to 65 minutes or until internal temperature of bread reaches 205 degrees F, covering bread with foil after it starts to brown. Remove pan from oven and cool bread in pan 5 minutes. Remove bread from pan and finish cooling on wire rack. Cool completely before slicing. Bread Machine Baking (1 1/2 lb Loaf): Remove yeast packet from package. Have all ingredients at room temperature. Follow your specific machine instructions for adding yeast, the liquid and dry ingredients in the proper order. Be sure to whisk the water, oil, vinegar and eggs together before adding to bread machine. Set controls for setting recommended by manufacturer, or to white bread basic setting. Remove bread from bread machine and cool thoroughly on wire rack before slicing.', 'Note: This Product Description Is Informational Only. Always Check The Actual Product Label In Your Possession For The Most Accurate Ingredient Information Before Use. For Any Health Or Dietary Related Matter Always Consult Your Doctor Before Use.', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Bob's Red Mill Gluten Free Hearty Whole Grain Bread Mix, 20-ounce (Pack of 4)","['https://images-na.ssl-images-amazon.com/images/I/41xEJvOGIfL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41FqNrWGliL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/417ktRq3MiL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/317cir7TLzL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51sqIsEHvFL._SS40_.jpg']",Bob's Red Mill,25.203335254139688,B000KELHPS
"['Bob\'s Red Mill Gluten Free Cornbread Mix results in a truly delectable, moist, gluten free cornbread. Made with whole grains, this wholesome mix is easy to prepare. All you need from your kitchen is milk, oil or butter, and eggs. Bakes in just 25 minutes. One package makes one 9"" x 9"" pan of cornbread or a batch of cornbread muffins. Like all of our gluten free-labeled products, this product is processed in a dedicated gluten free facility and R5-ELISA tested to confirm its gluten free status.', 'Manufactured in a facility that also uses tree nuts and soy.', 'Gluten Free, Kosher', 'What You Need: 1 1/2 Cups milk (rice, soy, dairy); 1/3 Cup oil or melted butter; 2 Eggs. Baking: 1. Have all ingredients at room temperature. Preheat oven to 375 degrees F. Generously grease 9 x 9-inch gray, nonstick pan. 2. Place dry ingredients in large mixer bowl. Add 1 1/2 cups milk, 2 large eggs and 1/3 cup canola oil or melted butter. Mix on low speed with electric mixer until blended. Beat another 30 seconds with mixer on high. Bake 20 minutes or until nicely browned.']","Bob's Red Mill Gluten Free Cornbread Mix, 20-ounce (Pack of 4)","['https://images-na.ssl-images-amazon.com/images/I/51%2B4eUeWFVL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31W6D34mQYL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51zYCKytw2L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51E9w%2BBsRPL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41gNbPUDHEL._SS40_.jpg']",Bob's Red Mill,20.99,B000KENKXA
"[""Bob's Red Mill Gluten Free All Purpose Baking Flour can replace wheat flour in your savory or sweet recipes - just add Xanthan or Guar Gum (see chart on back of Xanthan Gum to learn how much to add to your recipe. If using Guar Gum, use 150% of the amount of Xanthan Gum called for.) It's a good source of dietary fiber, contains whole grains, and offers 3g of protein per serving. Check out recipes at BobRedMill.com for inspiration!"", 'Manufactured in a facility that also uses tree nuts and soy.', 'Garbanzo Bean Flour, Potato Starch, Tapioca Flour, Whole Grain Sweet White Sorghum Flour, Fava Bean Flour', 'Replace wheat flour in a variety of recipes, including baked goods and breakfast items like muffins, pancakes, and waffles.', 'Actual product packaging and materials may contain more and different information than what is shown on our website. We recommend that you do not rely solely on the information presented and that you always read labels, warnings, and directions before using or consuming a product.', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Bob's Red Mill Gluten Free All-Purpose Baking Flour, 44-ounce (Pack of 4)","['https://images-na.ssl-images-amazon.com/images/I/4135zqukJJL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51R83gI21lL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31FcYrJLi8L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/515cn0ZPUBL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51wgNaNSf0L._SS40_.jpg']",Bob's Red Mill,33.59,B000KEPBCS
"['We bake real pita from our own special recipe, slice it into chips, then bake it again for a delicious crunch. We think time is an essential ingredient, which is why we devote up to 14 hours to bake each batch of Stacys Pita Chips. Thats just how long it takes to reach perfection.', 'Contains a wheat ingredient.', 'Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate., Riboflavin, Folic Acid), Organic Sugar, Sunflower Oil, Oat Fiber, Sea Salt, Cinnamon, Active Yeast, Compressed Yeast, Malted Barley Flour, and Inactive Yeast.', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Stacy's Cinnamon Sugar Flavored Pita Chips, 1.5 Ounce (Pack of 24)","['https://images-na.ssl-images-amazon.com/images/I/61EEWSTYBNL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51VwdLoOptL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51nBj-rZNuL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Vut3HynvL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/617V4A2y6jL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61qzwi4yoIL._SS40_.jpg']",Stacy's,14.98,B000KGW28M
"['Real Parmesan cheese, garlic and parsley are twice-baked right on to our signature pita bread for a flavorful bite.', 'Contains wheat and milk ingredients.', ""Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Sunflower Oil, Parmesan Cheese (Pasteurized Cow's Milk, Cheese Cultures, Salt, Enzymes), Sea Salt, Organic Sugar, Oat Fiber, Garlic Powder, Active Yeast, Compressed Yeast, Malted Barley Flour, Inactive Yeast and Parsley Flakes."", 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","Stacy's Parmesan Garlic &amp; Herb Flavored Pita Chips, 1.5 Ounce Bags (Pack of 24)","['https://images-na.ssl-images-amazon.com/images/I/61ijKGnK5KL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/510tJfMeWfL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51YOWk4OvxL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51cS5juizHL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51spuadVLGL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31ZO0mJMcdL._SS40_.jpg']",Stacy's,25.203335254139688,B000KGW27S
"[""Polars Kipper and Herring are produced in a new state-of-the art Green cannery located in Germany. The Herring used in Polar products originate from the cold Northeast Atlantic Norwegian Sea region. The fish caught in these waters are known for high Omega 3 Fatty Acids. Polars Kipper Snack is naturally smoked using a variety of beach wood shavings and contains NO chemical dyes or imitation smoke flavor. It is also hand packed to ensure the delicate texture of the fillet. Polar's Kipper snack has a natural smoked taste you will love."", 'All Natural Smoked Boneless Fillets of Herring, water, salt.', 'Statements regarding dietary supplements have not been evaluated by the FDA and are not intended to diagnose, treat, cure, or prevent any disease or health condition.']","MW Polar Herring, Kipper Snacks, 3.53-Ounce (Pack of 18)","['https://images-na.ssl-images-amazon.com/images/I/41FBkQlFCHL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51dgC4UXp3L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51VPa6oHZxL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31nKLilv%2BrL._SS40_.jpg']",MW Polar,26.64,B000KHMWQS
